27.	Hall, Breece NYJ RB	164.60	23.514	8.60 	18.50 	19.70 	22.30 	44.70 	32.10 	18.70 	  	  	B 	  	  	  	  	BUF	KWar (Q)	10
28.	Mostert, Raheem MIA RB	160.10	13.342	5.20 	15.90 	2.10 	15.10 	31.20 	6.30 	26.90 	14.20 	9.60 	23.70 	B 	  	4.00 	5.90 	@LAC	БЕСЫ	11
29.	Dillon, AJ GBP RB	158.80	12.215	20.60 	14.70 	5.80 	15.40 	4.40 	7.70 	1.50 	13.80 	6.90 	13.00 	3.30 	23.80 	27.90 	B 	@CHI	NDAK	14
30.	Foreman, D'Onta CAR RB	155.80	11.985	0.50 	0.90 	0.00 	0.20 	0.70 	1.90 	27.00 	46.30 	3.60 	32.50 	3.40 	23.80 	B 	15.00 	GBP	ansuperman	13
31.	Herbert, Khalil CHI RB	155.50	15.550	12.30 	5.10 	48.90 	17.10 	1.10 	12.90 	21.70 	22.40 	2.30 	11.70 	  	  	  	B 	GBP	FC	14
32.	Patterson, Cordarrelle ATL RB	155.10	17.233	36.60 	5.10 	34.80 	10.80 	  	  	  	  	19.80 	2.50 	16.90 	15.60 	13.00 	B 	CAR	Lesorub Magadan	14
33.	Perine, Samaje CIN RB	153.30	11.792	5.70 	1.50 	15.10 	0.00 	9.10 	2.60 	1.80 	3.70 	11.90 	B 	35.70 	24.80 	32.00 	9.40 	LVR	illmatic27	10
34.	Swift, D'Andre DET RB	149.80	14.980	38.50 	21.70 	6.60 	  	  	B 	  	12.80 	7.50 	8.20 	11.70 	9.30 	27.10 	6.40 	@NEP	GOD	6
35.	Pacheco, Isiah KCC RB	140.00	10.769	18.70 	0.60 	0.90 	11.30 	0.00 	3.30 	4.80 	B 	1.90 	13.20 	22.70 	21.60 	23.20 	17.80 	DET	БЕСЫ (Q)	8
36.	Allgeier, Tyler ATL RB	137.60	11.467	  	3.50 	4.50 	17.40 	6.00 	11.10 	18.00 	18.00 	20.30 	2.30 	12.90 	11.90 	11.70 	B 	CAR	NDAK	14
37.	McKinnon, Jerick KCC RB	137.10	10.546	7.40 	9.10 	2.00 	0.50 	15.20 	5.00 	6.30 	B 	8.40 	15.30 	1.40 	5.10 	19.50 	41.90 	DET	MH	8
38.	Robinson, Brian WAS RB	137.00	15.222	  	  	  	  	3.20 	18.50 	16.10 	3.50 	5.30 	22.60 	12.70 	33.50 	21.60 	B 	ARI	NDAK	14
39.	White, Rachaad TBB RB	128.20	9.862	3.60 	0.10 	0.00 	19.60 	8.20 	4.80 	4.20 	7.30 	5.40 	24.00 	B 	21.40 	14.90 	14.70 	@MIN	Snusmumrik's Minions	11
40.	Hunt, Kareem CLE RB	127.20	9.785	23.50 	15.90 	9.60 	9.80 	15.20 	1.20 	7.80 	10.70 	B 	2.90 	8.90 	3.60 	15.40 	2.70 	BYE	NDAK	9
41.	Robinson, James NYJ RB	121.60	11.055	26.40 	22.80 	31.60 	3.40 	6.40 	12.50 	0.00 	1.70 	14.30 	B 	1.00 	  	1.50 	  	BYE	FC (Q)	10
42.	Drake, Kenyan BAL RB	113.20	10.291	6.10 	0.80 	  	  	3.70 	32.70 	0.50 	21.20 	32.90 	B 	6.80 	0.70 	6.60 	1.20 	BYE	FA	10
43.	Murray, Latavius DEN RB	113.00	12.556	  	  	  	20.00 	  	12.90 	10.30 	12.90 	B 	7.20 	17.70 	17.30 	8.60 	6.10 	@NYJ	MH	9
44.	Edwards-Helaire, Clyde KCC RB	112.80	11.280	22.90 	20.80 	13.40 	29.90 	7.00 	4.30 	9.70 	B 	3.40 	0.00 	1.40 	  	  	  	DET	Snusmumrik's Minions	8
45.	Carter, Michael NYJ RB	112.40	9.367	21.00 	9.00 	6.10 	3.90 	17.30 	5.70 	9.40 	9.10 	22.60 	B 	2.20 	4.60 	  	1.50 	BUF	illmatic27	10
46.	Gordon, Melvin KCC RB	97.60	9.760	12.20 	6.30 	16.00 	-1.20 	19.80 	0.80 	7.00 	14.70 	B 	11.00 	11.00 	  	  	  	BYE	FA	8
47.	Harris, Damien NEP RB	96.80	10.756	8.30 	23.20 	13.10 	21.90 	1.70 	  	1.50 	7.70 	  	B 	17.30 	2.10 	  	  	@NYJ	MH	10
48.	Benjamin, Eno NOS RB	91.40	7.617	8.60 	7.60 	3.80 	6.00 	14.80 	9.50 	28.80 	8.50 	3.70 	0.00 	  	  	0.00 	0.10 	TEN	FC	14
49.	Penny, Rashaad SEA RB	88.70	17.740	14.20 	1.50 	14.90 	46.70 	11.40 	  	  	  	  	  	B 	  	  	  	@NEP	PGs	11
50.	Akers, Cam LAR RB	88.00	8.000	0.00 	8.70 	16.60 	1.80 	4.30 	  	B 	  	0.80 	3.20 	12.60 	4.20 	25.50 	10.30 	@SEA	PGs	7
51.	Cook, James BUF RB	84.90	6.531	-1.80 	11.80 	6.50 	0.00 	9.60 	0.80 	B 	9.60 	5.30 	2.20 	15.60 	3.30 	20.00 	2.00 	@NYJ	Lesorub Magadan	7
52.	Hilliard, Dontrell TEN RB	82.70	6.892	26.90 	  	5.40 	3.80 	11.30 	B 	0.40 	17.00 	1.30 	1.30 	8.80 	3.90 	2.60 	0.00 	BYE	FA (Q)	6
53.	Henderson, Darrell FA RB	79.50	7.950	11.30 	12.70 	1.70 	6.40 	5.50 	13.70 	B 	4.00 	11.60 	11.70 	0.90 	  	  	  	BYE	illmatic27	-
54.	Edwards, Gus BAL RB	72.60	14.520	  	  	  	  	  	  	26.10 	13.50 	  	B 	  	17.20 	1.70 	14.10 	HOU	Gonsales Monsters	10
