24.	Mostert, Raheem MIA RB	220.70	14.713	5.20 	15.90 	2.10 	15.10 	31.20 	6.30 	26.90 	14.20 	9.60 	23.70 	B 	  	4.00 	5.90 	28.60 	5.40 	26.60 	@LAC	БЕСЫ	11
25.	Allgeier, Tyler ATL RB	219.90	14.660	  	3.50 	4.50 	17.40 	6.00 	11.10 	18.00 	18.00 	20.30 	2.30 	12.90 	11.90 	11.70 	B 	36.10 	21.70 	24.50 	CAR	NDAK	14
26.	McKinnon, Jerick KCC RB	219.70	13.731	7.40 	9.10 	2.00 	0.50 	15.20 	5.00 	6.30 	B 	8.40 	15.30 	1.40 	5.10 	19.50 	41.90 	43.20 	12.30 	27.10 	DET	MH	8
27.	Taylor, Jonathan IND RB	213.90	19.445	45.00 	13.30 	17.60 	4.30 	  	  	19.00 	11.60 	  	36.80 	21.40 	24.30 	18.80 	B 	1.80 	  	  	JAC	Gonsales Monsters (Q)	14
28.	Wilson, Jeffery MIA RB	207.60	13.840	4.00 	18.80 	16.60 	19.40 	33.70 	1.50 	11.90 	6.00 	20.70 	34.80 	B 	13.70 	0.30 	3.60 	  	11.50 	11.10 	@LAC	GOD	11
29.	Dillon, AJ GBP RB	206.80	12.925	20.60 	14.70 	5.80 	15.40 	4.40 	7.70 	1.50 	13.80 	6.90 	13.00 	3.30 	23.80 	27.90 	B 	23.60 	12.80 	11.60 	@CHI	NDAK	14
30.	Foreman, D'Onta CAR RB	203.20	12.700	0.50 	0.90 	0.00 	0.20 	0.70 	1.90 	27.00 	46.30 	3.60 	32.50 	3.40 	23.80 	B 	15.00 	0.90 	41.50 	5.00 	GBP	ansuperman	13
31.	Swift, D'Andre DET RB	202.00	15.538	38.50 	21.70 	6.60 	  	  	B 	  	12.80 	7.50 	8.20 	11.70 	9.30 	27.10 	6.40 	16.00 	3.50 	32.70 	@NEP	GOD	6
32.	Patterson, Cordarrelle ATL RB	196.80	16.400	36.60 	5.10 	34.80 	10.80 	  	  	  	  	19.80 	2.50 	16.90 	15.60 	13.00 	B 	17.70 	4.10 	19.90 	CAR	Lesorub Magadan	14
33.	Gibson, Antonio WAS RB	192.90	12.860	30.50 	12.10 	12.00 	8.80 	6.40 	8.30 	22.20 	25.20 	7.70 	14.80 	18.80 	8.40 	8.40 	B 	4.20 	5.10 	  	ARI	Gonsales Monsters	14
34.	Pacheco, Isiah KCC RB	186.60	11.662	18.70 	0.60 	0.90 	11.30 	0.00 	3.30 	4.80 	B 	1.90 	13.20 	22.70 	21.60 	23.20 	17.80 	16.70 	16.00 	13.90 	DET	БЕСЫ (Q)	8
35.	Robinson, Brian WAS RB	183.70	15.308	  	  	  	  	3.20 	18.50 	16.10 	3.50 	5.30 	22.60 	12.70 	33.50 	21.60 	B 	19.20 	11.80 	15.70 	ARI	NDAK	14
36.	Akers, Cam LAR RB	182.00	13.000	0.00 	8.70 	16.60 	1.80 	4.30 	  	B 	  	0.80 	3.20 	12.60 	4.20 	25.50 	10.30 	19.50 	48.70 	25.80 	@SEA	PGs	7
37.	Murray, Latavius DEN RB	172.40	14.367	  	  	  	20.00 	  	12.90 	10.30 	12.90 	B 	7.20 	17.70 	17.30 	8.60 	6.10 	35.20 	8.00 	16.20 	@NYJ	MH	9
38.	Hall, Breece NYJ RB	164.60	23.514	8.60 	18.50 	19.70 	22.30 	44.70 	32.10 	18.70 	  	  	B 	  	  	  	  	  	  	  	BUF	KWar (Q)	10
39.	Herbert, Khalil CHI RB	160.90	13.408	12.30 	5.10 	48.90 	17.10 	1.10 	12.90 	21.70 	22.40 	2.30 	11.70 	  	  	  	B 	  	1.80 	3.60 	GBP	FC	14
40.	Perine, Samaje CIN RB	160.40	10.693	5.70 	1.50 	15.10 	0.00 	9.10 	2.60 	1.80 	3.70 	11.90 	B 	35.70 	24.80 	32.00 	9.40 	3.40 	3.70 	  	LVR	illmatic27	10
