32.	Bellinger, Daniel NYG TE	74.70	8.300	0.00 	9.60 	10.00 	6.30 	13.40 	17.80 	3.30 	  	B 	  	  	  	7.40 	6.90 	DAL	KWar	9
33.	Likely, Isaiah BAL TE	74.60	6.217	0.00 	9.30 	1.80 	0.00 	2.70 	7.00 	3.60 	29.70 	10.40 	B 	1.10 	  	9.00 	0.00 	HOU	Oparysh	10
34.	Woods, Jelani IND TE	72.50	6.591	0.00 	0.00 	17.30 	5.30 	0.00 	12.70 	2.40 	0.00 	1.20 	  	  	27.80 	5.80 	B 	JAC	FC (Q)	14
35.	Gray, Noah KCC TE	69.50	5.346	3.00 	4.20 	4.60 	7.10 	1.70 	4.30 	3.00 	B 	9.50 	11.00 	4.50 	3.60 	3.50 	9.50 	DET	GOD	8
36.	Thomas, Logan WAS TE	66.00	6.600	9.50 	13.70 	3.50 	8.90 	  	  	  	0.00 	0.00 	3.20 	19.50 	1.70 	6.00 	B 	ARI	NDAK	14
37.	Bryant, Harrison CLE TE	62.10	4.777	4.80 	9.50 	0.00 	5.80 	0.00 	4.80 	4.50 	0.00 	B 	12.50 	11.10 	3.90 	3.40 	1.80 	CIN	FA	9
38.	Smith Jr., Irv MIN TE	59.80	8.543	0.00 	17.60 	7.20 	6.30 	10.20 	11.70 	B 	6.80 	  	  	  	  	  	  	@CLE	MH	7
39.	Waller, Darren LVR TE	58.50	11.700	20.90 	25.00 	6.20 	6.40 	0.00 	B 	  	  	  	  	  	  	  	  	DAL	KWar	6
40.	Alie-Cox, Mo IND TE	58.30	4.485	6.60 	1.90 	1.90 	35.50 	1.70 	0.00 	0.00 	0.00 	3.30 	0.00 	3.40 	4.40 	-0.40 	B 	JAC	Gonsales Monsters	14
41.	Smith, Jonnu NEP TE	55.50	4.625	8.30 	0.00 	7.50 	0.00 	  	14.10 	1.40 	5.00 	6.10 	B 	10.50 	0.00 	2.60 	0.00 	CAR	FC	10
42.	Ferguson, Jake DAL TE	53.90	4.146	0.00 	0.00 	3.30 	1.70 	0.00 	17.00 	1.70 	8.10 	B 	0.00 	4.50 	15.70 	1.90 	0.00 	@NYG	Snusmumrik's Minions	9
43.	Parkinson, Colby SEA TE	49.40	4.117	14.30 	  	8.40 	6.80 	0.00 	3.10 	4.80 	1.50 	3.60 	1.70 	B 	0.00 	3.20 	2.00 	LAR	FA	11
44.	Thomas, Ian CAR TE	48.60	3.738	14.30 	3.30 	3.30 	1.60 	2.80 	5.20 	1.30 	1.20 	0.00 	0.00 	5.40 	6.10 	B 	4.10 	@ATL	FA	13
45.	Oliver, Josh BAL TE	48.00	3.692	0.00 	0.00 	9.80 	0.00 	0.00 	5.10 	0.00 	1.40 	3.90 	B 	1.20 	26.60 	0.00 	0.00 	TBB	FA	10
46.	Wright, Brock DET TE	47.10	3.623	0.00 	4.50 	0.00 	0.00 	0.00 	B 	17.70 	1.60 	0.00 	8.20 	6.00 	2.60 	6.50 	0.00 	@KCC	FA	6
47.	Trautman, Adam NOS TE	46.30	4.209	0.00 	0.00 	1.90 	8.70 	12.20 	1.80 	  	  	1.80 	5.20 	4.20 	3.70 	6.80 	B 	LVR	Snusmumrik's Minions	14
48.	Brate, Cameron TBB TE	44.90	5.612	2.70 	1.90 	18.20 	10.20 	  	3.40 	  	  	  	1.80 	B 	3.50 	  	3.20 	BYE	FA	11
49.	Mundt, Johnny MIN TE	42.70	3.285	5.70 	5.80 	6.30 	0.00 	2.60 	2.10 	B 	8.10 	1.10 	0.00 	2.80 	5.00 	3.20 	0.00 	TBB	FA	7
50.	Fortson, Jody KCC TE	40.80	3.400	8.10 	0.00 	0.00 	9.00 	0.00 	0.00 	2.80 	B 	  	-0.40 	14.10 	5.60 	1.60 	0.00 	DET	FA	8
51.	Hendershot, Peyton DAL TE	38.50	2.962	0.00 	0.00 	9.30 	0.00 	0.00 	6.20 	9.50 	5.50 	B 	0.00 	0.80 	7.20 	0.00 	0.00 	@NYG	GOD	9
52.	Howard, O.J. HOU TE	37.90	3.158	19.80 	1.70 	0.00 	5.70 	0.00 	B 	0.00 	5.40 	3.40 	0.00 	1.90 	0.00 	  	0.00 	@DEN	FA	6
53.	Hudson, Tanner CIN TE	36.20	3.291	0.00 	6.20 	0.00 	3.80 	0.00 	0.00 	0.00 	16.80 	B 	6.40 	0.00 	3.00 	  	  	@CLE	FA	10
54.	Tremble, Tommy CAR TE	35.10	2.700	1.10 	0.00 	1.70 	7.40 	0.00 	0.00 	10.90 	4.70 	8.10 	0.00 	0.00 	1.20 	B 	0.00 	@ATL	FC	13
55.	Bates, John WAS TE	34.80	2.900	0.00 	3.50 	0.00 	6.90 	7.90 	  	0.00 	1.60 	2.50 	0.00 	0.00 	12.40 	0.00 	B 	ARI	NDAK	14
56.	Pruitt, MyCole ATL TE	34.70	4.338	  	  	  	  	  	8.20 	0.00 	0.00 	2.60 	1.60 	3.70 	9.90 	8.70 	B 	BYE	FA	14
57.	Smythe, Durham MIA TE	34.60	2.883	3.40 	1.50 	6.30 	0.00 	9.90 	  	0.00 	0.00 	0.00 	0.00 	B 	8.40 	5.10 	0.00 	@LAC	Lesorub Magadan	11
58.	Uzomah, C.J. NYJ TE	33.70	2.808	0.00 	  	1.50 	0.00 	3.20 	4.70 	1.50 	4.70 	5.60 	B 	0.00 	5.70 	5.10 	1.70 	BUF	Lesorub Magadan (Q)	10
59.	Saubert, Eric DEN TE	32.30	2.485	0.00 	10.20 	0.00 	4.50 	10.60 	0.00 	0.00 	0.00 	B 	2.20 	3.60 	0.00 	0.00 	1.20 	@LAC	FA	9
60.	Gentry, Zach PIT TE	31.40	2.415	7.00 	0.00 	0.00 	1.20 	13.30 	1.40 	2.00 	1.30 	B 	0.00 	2.80 	0.60 	1.80 	0.00 	SFO	FA	9
61.	Brown, Pharaoh CLE TE	29.70	2.475	3.70 	6.40 	7.10 	  	0.00 	6.10 	0.00 	0.00 	B 	3.30 	0.00 	0.00 	3.10 	0.00 	JAC	FA	9
62.	Heyward, Connor PIT TE	29.60	2.277	0.00 	0.00 	0.00 	0.00 	4.20 	7.90 	1.60 	0.00 	B 	2.90 	0.00 	0.00 	9.70 	3.30 	SFO	illmatic27	9
63.	Dwelley, Ross SFO TE	27.50	2.500	3.10 	11.80 	0.00 	0.00 	0.00 	0.00 	0.00 	12.60 	B 	0.00 	0.00 	0.00 	  	  	@PIT	FA	9
64.	Stoll, Jack PHI TE	26.70	2.054	0.00 	0.00 	1.40 	0.00 	0.00 	4.10 	B 	0.00 	3.30 	3.10 	1.70 	0.00 	8.10 	5.00 	@NEP	FA	7
65.	Kieft, Ko TBB TE	26.00	2.000	0.00 	0.00 	0.00 	3.90 	0.00 	0.00 	3.80 	1.90 	1.60 	0.00 	B 	8.50 	3.20 	3.10 	@MIN	FA	11
66.	Deguara, Josiah GBP TE	25.60	1.969	6.80 	0.00 	0.00 	0.00 	4.90 	1.90 	0.00 	1.90 	10.10 	0.00 	0.00 	0.00 	0.00 	B 	@CHI	Lesorub Magadan	14
67.	Myarick, Chris NYG RB	24.50	1.885	8.10 	0.00 	1.60 	0.00 	1.40 	0.00 	6.10 	3.00 	B 	0.00 	0.00 	4.30 	0.00 	0.00 	DAL	FA	9
68.	Arnold, Dan JAC TE	23.80	1.831	0.00 	1.80 	0.00 	4.60 	4.00 	0.00 	4.40 	1.80 	3.90 	1.80 	B 	0.00 	0.00 	1.50 	@NEP	KWar	11
69.	Swaim, Geoff TEN TE	23.00	1.769	5.90 	0.00 	12.90 	0.00 	1.50 	B 	0.00 	0.00 	0.00 	0.00 	1.30 	0.00 	1.40 	0.00 	BYE	FA	6
70.	Jordan, Brevin HOU TE	21.80	3.114	2.50 	2.30 	  	  	  	B 	0.00 	4.90 	1.50 	  	  	  	10.60 	0.00 	@BAL	Oparysh	6
71.	McBride, Trey ARI TE	21.40	1.783	  	0.00 	0.00 	6.40 	0.00 	0.00 	0.00 	0.00 	0.00 	1.70 	5.40 	1.10 	B 	6.80 	@WAS	ansuperman	13
72.	Mitchell, James DET TE	19.80	1.980	  	  	  	0.00 	0.00 	B 	0.00 	3.40 	10.80 	1.40 	0.00 	4.20 	0.00 	0.00 	@KCC	FA	6
73.	Hesse, Parker ATL TE	19.50	1.500	2.50 	2.50 	0.00 	4.20 	1.90 	0.00 	0.00 	2.90 	0.00 	0.00 	0.00 	1.90 	3.60 	B 	CAR	FA	14
74.	Cager, Lawrence NYG TE	18.90	3.780	0.00 	  	  	  	  	  	  	0.00 	B 	9.90 	5.00 	4.00 	  	  	DAL	FA	9
75.	Rogers, Armani WAS TE	18.80	1.880	4.30 	0.00 	0.00 	0.00 	0.00 	0.00 	7.80 	3.30 	3.40 	0.00 	  	  	  	B 	ARI	FA (O)	14
76.	Wilcox, Mitchell CIN TE	18.00	1.385	0.00 	1.30 	1.90 	3.80 	0.00 	0.00 	3.40 	1.30 	0.00 	B 	0.00 	0.00 	3.30 	3.00 	BYE	FA	10
77.	Firkser, Anthony ATL TE	17.90	2.557	1.60 	0.00 	4.20 	0.00 	3.10 	  	  	  	  	  	  	3.60 	5.40 	B 	PHI	FA	14
78.	Morris, Quintin BUF TE	17.00	1.545	  	1.60 	6.20 	0.00 	6.90 	0.00 	B 	0.00 	0.00 	0.00 	0.00 	2.30 	  	0.00 	@NYJ	FA	7
79.	Calcaterra, Grant PHI TE	16.10	1.464	  	  	6.00 	0.00 	0.00 	0.00 	B 	0.00 	0.00 	0.00 	0.00 	0.80 	2.90 	6.40 	@NEP	FA	7
80.	Ricci, Giovanni CAR RB	15.80	1.436	0.00 	3.60 	3.50 	0.00 	5.70 	0.00 	0.00 	0.00 	1.80 	1.20 	  	  	B 	0.00 	@ATL	FA	13
81.	Parham, Donald LAC TE	15.30	7.650	  	  	  	  	0.00 	15.30 	  	B 	  	  	  	  	  	  	MIA	PGs	8
82.	McKitty, Tre' LAC TE	15.20	1.169	5.40 	0.00 	0.00 	1.40 	0.00 	0.00 	0.00 	B 	0.00 	5.10 	0.00 	0.00 	1.80 	1.50 	MIA	FA	8
83.	Lewis, Marcedes GBP TE	15.00	1.154	0.00 	0.00 	0.00 	0.00 	8.20 	0.00 	0.00 	0.00 	3.90 	0.90 	0.00 	0.00 	2.00 	B 	BYE	FA	14
84.	Zylstra, Shane DET TE	14.30	1.589	0.00 	0.00 	0.00 	  	  	B 	  	  	8.10 	0.00 	0.00 	0.00 	1.40 	4.80 	@KCC	FA	6
85.	Okwuegbunam, Albert DEN TE	14.00	2.333	10.30 	0.00 	2.20 	0.00 	1.50 	  	  	  	B 	  	  	  	  	0.00 	LVR	ansuperman	9
86.	Manhertz, Chris JAC TE	12.20	0.938	0.00 	0.00 	0.00 	1.00 	4.50 	0.00 	0.00 	0.90 	1.70 	0.00 	B 	0.00 	0.00 	4.10 	LVR	FA	11
87.	Quitoriano, Teagan HOU TE	12.20	2.033	  	  	  	  	  	B 	  	  	8.20 	0.00 	0.00 	4.00 	0.00 	0.00 	@BAL	FA	6
88.	Tomlinson, Eric DEN TE	11.80	0.908	0.00 	0.00 	0.00 	0.00 	0.00 	3.60 	5.10 	0.00 	B 	0.00 	0.00 	0.00 	0.00 	3.10 	BYE	FA	9
89.	Sullivan, Stephen CAR TE	8.60	0.860	  	3.30 	0.00 	0.00 	  	0.00 	0.00 	5.30 	  	0.00 	0.00 	0.00 	B 	0.00 	@ATL	FA	13
90.	Farrell, Luke JAC TE	7.90	0.608	0.00 	0.00 	0.00 	0.00 	0.00 	3.10 	0.00 	0.00 	3.50 	0.00 	B 	0.00 	1.30 	0.00 	@IND	FA	11
91.	Davis, Tyler GBP TE	7.60	0.585	1.30 	0.00 	5.60 	0.00 	0.70 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	B 	@CHI	FA	14
