24.	Pittman, Michael IND WR	242.00	16.133	36.10 	  	18.20 	5.10 	15.40 	33.90 	12.80 	15.30 	3.70 	15.30 	17.00 	22.60 	3.10 	B 	22.00 	6.40 	15.10 	JAC	ansuperman (Q)	14
25.	Jeudy, Jerry DEN WR	228.40	16.314	29.70 	2.70 	3.20 	19.30 	13.30 	13.40 	20.10 	22.30 	B 	0.00 	  	  	14.50 	36.30 	18.10 	26.70 	8.80 	LVR	Snusmumrik's Minions	9
26.	Jones, Zay JAC WR	220.50	14.700	16.50 	4.30 	27.00 	  	3.20 	8.20 	16.30 	5.50 	7.50 	17.80 	B 	35.50 	2.60 	25.20 	44.40 	2.10 	4.40 	@IND	Lesorub Magadan	11
27.	Williams, Mike LAC WR	218.80	18.233	2.00 	33.30 	8.50 	28.00 	31.40 	2.70 	25.60 	B 	  	  	2.50 	  	  	32.60 	15.70 	16.60 	19.90 	MIA	GKC	8
28.	Smith-Schuster, JuJu KCC WR	209.80	13.987	15.40 	2.50 	18.40 	8.60 	5.80 	31.80 	34.90 	B 	21.30 	5.30 	  	6.80 	6.50 	24.90 	18.80 	4.70 	4.10 	PHI	Oparysh (Q)	8
29.	Samuel, Curtis WAS WR	207.90	12.994	23.20 	26.40 	11.10 	7.30 	16.20 	1.60 	17.90 	16.40 	22.10 	6.50 	10.80 	1.30 	18.10 	B 	6.50 	20.90 	1.60 	ARI	KWar	14
30.	Meyers, Jakobi NEP WR	199.60	15.354	14.70 	21.00 	  	  	33.60 	14.00 	11.40 	23.50 	6.40 	B 	13.70 	14.20 	3.70 	  	4.20 	23.80 	15.40 	@DEN	GKC	10
31.	Davis, Gabriel BUF WR	198.70	14.193	23.30 	  	6.20 	2.30 	47.10 	21.40 	B 	5.00 	4.80 	25.80 	15.80 	7.30 	9.50 	5.60 	13.60 	11.00 	  	@NYJ	Lesorub Magadan	7
32.	Lazard, Allen GBP WR	198.70	14.193	  	9.30 	14.50 	27.10 	13.00 	22.10 	15.50 	  	23.70 	6.50 	14.70 	4.40 	16.70 	B 	1.20 	14.60 	15.40 	BUF	KWar	14
33.	Johnson, Diontae PIT WR	198.40	12.400	15.00 	18.20 	19.40 	3.70 	14.50 	7.10 	8.50 	6.50 	B 	14.30 	4.70 	8.90 	15.50 	18.20 	23.00 	15.90 	5.00 	SFO	illmatic27	9
34.	Peoples-Jones, Donovan CLE WR	197.40	12.338	15.50 	0.00 	2.00 	15.60 	13.50 	16.10 	13.60 	16.60 	B 	19.40 	21.10 	3.10 	12.40 	27.40 	12.10 	0.70 	8.30 	CIN	NDAK	9
35.	Thielen, Adam MIN WR	194.30	12.144	6.10 	13.70 	23.10 	18.70 	5.70 	15.10 	B 	16.70 	14.20 	8.40 	4.50 	24.10 	4.20 	23.00 	13.10 	1.10 	2.60 	@ATL	Oparysh	7
36.	Samuel, Deebo SFO WR	193.00	16.083	18.10 	18.70 	16.90 	32.20 	11.20 	19.00 	7.40 	  	B 	6.60 	25.90 	6.80 	16.30 	13.90 	  	  	  	@PIT	NDAK	9
37.	Palmer, Josh LAC WR	189.40	12.627	2.90 	12.50 	20.40 	3.50 	4.90 	16.20 	  	B 	27.10 	6.90 	39.10 	15.60 	16.00 	13.30 	7.90 	3.10 	0.00 	MIA	NDAK	8
38.	Pickens, George PIT WR	189.30	11.831	0.80 	3.30 	5.90 	25.20 	19.30 	4.80 	22.10 	0.00 	B 	15.00 	22.80 	15.70 	0.70 	15.80 	12.30 	20.70 	4.90 	SFO	KWar	9
39.	Hopkins, DeAndre ARI WR	187.20	20.800	  	  	  	  	  	  	27.30 	47.40 	12.10 	21.80 	21.60 	23.20 	B 	16.40 	16.50 	0.90 	  	@NOS	PGs	13
40.	Sutton, Courtland DEN WR	185.10	13.221	15.70 	29.20 	21.20 	19.70 	15.90 	2.90 	4.30 	2.30 	B 	16.10 	17.50 	17.50 	0.00 	  	  	15.40 	7.40 	LVR	MH	9
41.	Boyd, Tyler CIN WR	184.52	12.301	12.80 	4.70 	30.50 	7.12 	5.70 	16.60 	43.50 	12.80 	7.90 	B 	6.20 	3.10 	15.00 	0.00 	14.00 	4.60 	  	@CLE	PGs	10
42.	London, Drake ATL WR	179.10	11.194	16.40 	28.10 	19.40 	3.20 	7.00 	6.50 	1.40 	6.60 	2.80 	13.30 	7.20 	4.40 	20.00 	B 	15.50 	18.60 	8.70 	CAR	БЕСЫ	14
43.	Brown, Marquise ARI WR	177.80	16.164	13.30 	15.80 	34.50 	25.30 	25.30 	15.80 	  	  	  	  	  	8.60 	B 	6.40 	3.90 	13.30 	15.60 	@WAS	GOD	13
44.	Hollins, Mack LVR WR	175.66	10.979	2.60 	15.60 	43.96 	5.80 	0.00 	B 	12.40 	16.90 	3.20 	3.30 	13.70 	20.30 	7.00 	9.20 	13.50 	1.70 	6.50 	CAR	NDAK	6
45.	Watson, Christian GBP WR	162.00	12.462	5.60 	2.40 	  	9.30 	0.30 	  	  	1.70 	4.40 	42.70 	20.60 	31.00 	24.90 	B 	8.10 	8.90 	2.10 	@CHI	GKC	14
46.	Allen, Keenan LAC WR	161.30	17.922	14.60 	  	  	  	  	  	2.60 	B 	  	  	16.40 	15.40 	25.30 	23.20 	19.60 	28.40 	15.80 	MIA	PGs	8
47.	Slayton, Darius NYG WR	160.40	10.693	  	0.00 	0.00 	2.10 	18.40 	2.80 	19.80 	16.10 	B 	23.00 	18.10 	13.80 	18.50 	5.70 	4.80 	16.90 	0.40 	DAL	Lesorub Magadan	9
48.	Osborn, K.J. MIN WR	151.40	9.463	2.90 	4.50 	22.30 	1.50 	7.10 	3.30 	B 	8.30 	0.00 	6.70 	3.70 	2.30 	3.70 	13.30 	45.70 	3.70 	22.40 	TBB	ansuperman	7
49.	Campbell, Parris IND WR	148.30	9.269	6.70 	0.00 	2.00 	7.30 	4.20 	22.20 	25.50 	9.10 	3.10 	23.10 	15.70 	2.90 	7.50 	B 	3.30 	3.40 	12.30 	DAL	Gonsales Monsters	14
50.	Valdes-Scantling, Marquez KCC WR	147.20	9.200	7.60 	2.30 	8.30 	13.80 	19.50 	0.00 	24.10 	B 	2.20 	19.50 	2.80 	14.60 	14.10 	3.00 	11.10 	0.00 	4.30 	DET	GKC	8
51.	James, Richie NYG WR	143.50	8.969	15.10 	13.60 	7.00 	-0.10 	3.10 	2.80 	0.70 	-4.00 	B 	0.00 	13.80 	14.10 	4.00 	21.60 	7.70 	20.00 	24.10 	DET	MH	9
52.	Dotson, Jahan WAS WR	140.90	12.809	17.50 	22.90 	2.00 	12.80 	  	  	  	  	  	2.40 	2.60 	0.00 	19.90 	B 	30.50 	24.10 	6.20 	ARI	ansuperman	14
